epoch,accuracy,loss,val_accuracy,val_loss
0,0.9695184230804443,0.0951070487499237,0.9927884340286255,0.03495388850569725
1,0.9943647384643555,0.026017067953944206,0.9945913553237915,0.021332889795303345
2,0.9959016442298889,0.018835939466953278,0.995192289352417,0.016962071880698204
3,0.9959016442298889,0.016065625473856926,0.995192289352417,0.014652262441813946
4,0.9959016442298889,0.014213916845619678,0.995192289352417,0.012933158315718174
5,0.9959016442298889,0.013146443292498589,0.995192289352417,0.012522967532277107
6,0.9959016442298889,0.012244266457855701,0.995192289352417,0.011394144035875797
7,0.9959016442298889,0.01153868529945612,0.995192289352417,0.010808397084474564
8,0.9959016442298889,0.010995055548846722,0.995192289352417,0.010160775855183601
9,0.9959016442298889,0.010557777248322964,0.995192289352417,0.009827875532209873
10,0.9959016442298889,0.010135565884411335,0.995192289352417,0.009541238658130169
11,0.9959016442298889,0.009876388125121593,0.995192289352417,0.009395875036716461
12,0.9966700673103333,0.009544777683913708,0.996995210647583,0.008670340292155743
13,0.9951332211494446,0.00980665348470211,0.995192289352417,0.00891838502138853
14,0.9959016442298889,0.009360063821077347,0.995192289352417,0.008763550780713558
15,0.9959016442298889,0.009146426804363728,0.9957932829856873,0.008042608387768269
16,0.9946209192276001,0.008998237550258636,0.9957932829856873,0.007837227545678616
17,0.9959016442298889,0.008799519389867783,0.9957932829856873,0.007813419215381145
18,0.9961577653884888,0.008504929021000862,0.995192289352417,0.008143258281052113
19,0.9953893423080444,0.008592016063630581,0.995192289352417,0.00808227900415659
20,0.9959016442298889,0.008487575687468052,0.9957932829856873,0.007534089032560587
21,0.9959016442298889,0.008387475274503231,0.995192289352417,0.00795171782374382
22,0.9959016442298889,0.008324782364070415,0.995192289352417,0.007797126192599535
23,0.9959016442298889,0.008213575929403305,0.995192289352417,0.007281966507434845
24,0.9959016442298889,0.008191894739866257,0.995192289352417,0.007630202453583479
25,0.9959016442298889,0.008087574504315853,0.995192289352417,0.007620587479323149
26,0.9959016442298889,0.008027413859963417,0.995192289352417,0.007520517334342003
27,0.9948770403862,0.0079653300344944,0.995192289352417,0.007811542134732008
28,0.9956454634666443,0.007933571003377438,0.995192289352417,0.007329394109547138
29,0.9959016442298889,0.007854968309402466,0.995192289352417,0.007487716618925333
