epoch,accuracy,loss,val_accuracy,val_loss
0,0.7099359035491943,0.5460839867591858,0.752136766910553,0.45094648003578186
1,0.7648809552192688,0.41386881470680237,0.7601495981216431,0.4105052649974823
2,0.7763278484344482,0.39692407846450806,0.7596153616905212,0.4088440537452698
3,0.7614468932151794,0.4252755343914032,0.7601495981216431,0.4026522934436798
4,0.7786172032356262,0.39027878642082214,0.7612179517745972,0.39546293020248413
5,0.7802197933197021,0.38347092270851135,0.7617521286010742,0.392246276140213
6,0.7687729001045227,0.41080406308174133,0.75267094373703,0.42457547783851624
7,0.778388261795044,0.38917624950408936,0.7633547186851501,0.39122501015663147
8,0.7781593203544617,0.38080620765686035,0.7617521286010742,0.3919246792793274
9,0.7765567898750305,0.37934383749961853,0.7617521286010742,0.3889736235141754
10,0.7779303789138794,0.37744250893592834,0.7628205418586731,0.38753893971443176
11,0.7788461446762085,0.3765433132648468,0.7622863054275513,0.38761118054389954
12,0.778388261795044,0.3754728436470032,0.7622863054275513,0.3856196403503418
13,0.776098906993866,0.3755476474761963,0.7628205418586731,0.3849855065345764
14,0.7790750861167908,0.37433353066444397,0.7628205418586731,0.3835947811603546
15,0.7802197933197021,0.3739328682422638,0.7628205418586731,0.3840620219707489
16,0.778388261795044,0.37332990765571594,0.7622863054275513,0.3841128945350647
17,0.7804487347602844,0.3729996085166931,0.7622863054275513,0.3838111162185669
18,0.7804487347602844,0.3722096383571625,0.7628205418586731,0.3827647268772125
19,0.7779303789138794,0.3728570342063904,0.7617521286010742,0.3886026442050934
20,0.7557234168052673,0.45011723041534424,0.7569444179534912,0.404007226228714
21,0.7770146727561951,0.38383933901786804,0.7580128312110901,0.4078133702278137
22,0.7726648449897766,0.379130095243454,0.7612179517745972,0.38689154386520386
23,0.7758699655532837,0.37568145990371704,0.7612179517745972,0.38560307025909424
24,0.7820512652397156,0.37319475412368774,0.7612179517745972,0.38642802834510803
25,0.7802197933197021,0.37320321798324585,0.7617521286010742,0.38566291332244873
26,0.7802197933197021,0.37267234921455383,0.7622863054275513,0.384011447429657
27,0.7804487347602844,0.3719800114631653,0.7617521286010742,0.38462409377098083
28,0.7802197933197021,0.37166765332221985,0.7719017267227173,0.38366860151290894
29,0.7765567898750305,0.3721814453601837,0.7617521286010742,0.3845524191856384
